gene name,hyb1,hyb2,hyb3,hyb4
ABCB1,7.0,9.0,2.0,9.0
ABCC2,3.0,8.0,5.0,7.0
ACE,6.0,1.0,9.0,7.0
ACKR2,1.0,2.0,1.0,4.0
ACKR4,5.0,9.0,9.0,5.0
ACVRL1,2.0,5.0,7.0,5.0
ADAM10,5.0,8.0,1.0,5.0
ADAM8,5.0,7.0,6.0,9.0
ADGRA3,8.0,9.0,8.0,7.0
ADGRB3,9.0,7.0,3.0,1.0
ADGRD2,6.0,5.0,9.0,2.0
ADGRE2,3.0,3.0,7.0,4.0
ADGRE4P,3.0,1.0,4.0,8.0
ADGRF2,8.0,2.0,5.0,6.0
ADGRF4,8.0,6.0,1.0,6.0
ADGRG1,4.0,6.0,1.0,2.0
ADGRG3,1.0,7.0,4.0,3.0
ADGRG5,4.0,3.0,3.0,1.0
ADGRG7,8.0,5.0,2.0,6.0
ADGRL2,9.0,8.0,2.0,1.0
ADGRL4,7.0,5.0,3.0,6.0
ADORA1,4.0,3.0,8.0,6.0
ADORA3,7.0,8.0,6.0,3.0
ADRA1B,8.0,7.0,7.0,4.0
ADRA2A,1.0,8.0,9.0,9.0
ADRA2C,3.0,7.0,9.0,1.0
ADRB2,8.0,7.0,8.0,5.0
AGTR1,1.0,3.0,7.0,2.0
AICDA,2.0,4.0,7.0,4.0
AIRE,8.0,4.0,4.0,7.0
ALCAM,6.0,4.0,8.0,9.0
AMHR2,6.0,6.0,3.0,6.0
APLNR,1.0,7.0,7.0,6.0
ARG1,8.0,7.0,6.0,3.0
ART1,6.0,1.0,2.0,9.0
ASF1A,4.0,1.0,6.0,2.0
ATF1,6.0,6.0,8.0,2.0
ATG10,8.0,9.0,3.0,2.0
ATG5,6.0,7.0,7.0,2.0
AVPR1A,9.0,6.0,9.0,6.0
AVPR2,1.0,7.0,8.0,7.0
B3GAT1,9.0,9.0,2.0,2.0
BCL11B,6.0,8.0,9.0,5.0
BDKRB2,2.0,5.0,4.0,2.0
BLNK,3.0,2.0,6.0,2.0
BMP10,3.0,4.0,4.0,2.0
BMP3,3.0,7.0,5.0,6.0
BMPR2,5.0,9.0,3.0,8.0
BORA,5.0,3.0,8.0,7.0
BRS3,1.0,8.0,4.0,4.0
BUB1,1.0,3.0,3.0,7.0
C3AR1,1.0,6.0,4.0,2.0
C5,5.0,4.0,1.0,1.0
C6,7.0,9.0,7.0,5.0
C8B,3.0,1.0,2.0,6.0
CADM1,7.0,4.0,2.0,4.0
CADM3,4.0,5.0,3.0,3.0
CALCR,2.0,4.0,4.0,1.0
CARD9,4.0,5.0,2.0,2.0
CASP8AP2,4.0,8.0,2.0,5.0
CBLB,5.0,1.0,8.0,5.0
CCKAR,9.0,3.0,2.0,5.0
CCL14,8.0,2.0,7.0,8.0
CCL22,8.0,8.0,9.0,7.0
CCL28,4.0,6.0,6.0,7.0
CCR1,9.0,8.0,1.0,9.0
CCR2,2.0,9.0,6.0,8.0
CCR4,1.0,7.0,5.0,4.0
CCR6,8.0,8.0,5.0,3.0
CCR9,8.0,1.0,5.0,5.0
CD160,8.0,6.0,3.0,8.0
CD180,6.0,3.0,4.0,4.0
CD1B,2.0,7.0,1.0,1.0
CD1D,5.0,5.0,9.0,1.0
CD200,1.0,5.0,1.0,7.0
CD207,7.0,4.0,1.0,3.0
CD22,9.0,1.0,1.0,2.0
CD248,7.0,7.0,2.0,7.0
CD300A,2.0,1.0,3.0,6.0
CD300E,1.0,5.0,7.0,4.0
CD3EAP,1.0,2.0,9.0,3.0
CD72,7.0,7.0,3.0,8.0
CDC45,7.0,5.0,4.0,7.0
CDCA3,9.0,9.0,6.0,6.0
CDCA8,4.0,2.0,3.0,9.0
CDH10,1.0,1.0,2.0,4.0
CDH12,2.0,7.0,3.0,3.0
CDH15,9.0,9.0,5.0,5.0
CDH17,1.0,9.0,5.0,6.0
CDH19,8.0,1.0,4.0,4.0
CDH20,5.0,2.0,9.0,7.0
CDH23,1.0,8.0,5.0,5.0
CDH26,8.0,6.0,4.0,9.0
